Name,Sport,Height,Weight
Brittainey Raven,Basketball,72,162
Chen Nan,Basketball,78,204
Elena Delle Donne,Basketball,77,188
Jennifer Lacy,Basketball,75,175
Nakia Sanford,Basketball,76,200
Nikki Blue,Basketball,68,163
Seimone Augustus,Basketball,72,166
Shanna Crossley,Basketball,70,155
Shavonte Zellous,Basketball,70,155
Asuka Teramoto,Gymnastics,54,66
Gabby Douglas,Gymnastics,49,90
Laurie Hernandez,Gymnastics,60,106
Linlin Deng,Gymnastics,54,68
Madison Kocian,Gymnastics,62,101
Qiushuang Huang,Gymnastics,61,95
Rebecca Tunney,Gymnastics,58,77
Simone Biles,Gymnastics,57,104
Viktoria Komova,Gymnastics,61,76
Ulyana Trofimova,Gymnastics,64,93
Carly Patterson,Gymnastics,60,97
Yelena Shushunova ,Gymnastics,58,90
Shannon Miller,Gymnastics,61,86
Lilia Podkopayeva,Gymnastics,59,93
Kim Zmeskal,Gymnastics,55,80
Svetlana Boginskaya,Gymnastics,62,90
Shang Chunsong,Gymnastics,56,75
Wang Yan,Gymnastics,55,73
Fan Yilin,Gymnastics,58,82
Asuka Teramoto,Gymnastics,57,82
Kōko Tsurumi,Gymnastics,55,71
Svetlana Khorkina,Gymnastics,65,104
Nadia Comăneci,Gymnastics,63,99
Mary Lou Retton,Gymnastics,59,93
Kerri Strug,Gymnastics,55,82
Natalie Achonwa,Basketball,76,183
Alana Beard,Basketball,71,160
Amanda Zahui,Basketball,77,250
Shavonte Zellous,Basketball,70,188
Monica Wright,Basketball,70,182
Penny Taylor,Basketball,73,165
Diana Taurasi,Basketball,72,163
Clarissa Dos Santos,Basketball,73,196
Kelly Faris,Basketball,71,154
Carla Cortijo,Basketball,68,135
Tayler Hill,Basketball,69,145
Ruth Hamblin,Basketball,78,227
Bria Hartley,Basketball,68,148
Maggie Lucas,Basketball,70,152
Leilani Mitchell,Basketball,65,138
Erica Wheeler,Basketball,57,143
Helalia Johannes,Track,65,99
Irina Miketenko,Track,63,106
Kara Goucher,Track,67,123
Rene Kalmer,Track,70,108
Tatyana Petrova,Track,63,108
Tiki Gelana,Track,65,106
Valeria Straneo,Track,66,97
Amy Cragg,Track,64,99
Desiree Linden,Track,61,97
Shalane Flanagan,Track,65,106
Paula Radcliffe,Track,68,
Bai Xue,Track,62,
Takami Ominami,Track,66,104
Chika Horie,Track,63,97
Haruko Okamoto,Track,60,88
Yumi Hirata,Track,63,95
Catherine Ndereba,Track,63,99
Jelena Prokopcuka,Track,66,112
Deena Kastor,Track,64,106
Yumiko Hara,Track,65,108
Susan Chepkemei,Track,65,106
Mizuki Noguchi,59,90
Derartu Tulu,Track,61,99
Chunxiu Zhou,Track,65,97
Constantina Tomescu,Track,65,106


